# 国家地名信息库·地名读音
# https://dmfw.mca.gov.cn/sound.html
#
# 地名	类型	读音
# standardName	placeType	romanAlphabetSpelling

营孜	农村居民点	Yíngzī
崩岸李村	农村居民点	Bēng'ànlǐcūn
洋林港	农村居民点	Yánglíngǎng
黑梁子	山	Hēi Liángzǐ / Hēiliángzǐ
直合龙	山谷、谷地	Zhíhélóng
前程林场	农、林、牧场点	Qiánchénglínchǎng
柴家渡街	支路	Cháijiādù Jiē
富华南路二巷	支路	Fùhuá Nánlù 2 Xiàng
夏尕日	山谷、谷地	Xiàgǎrì
千福村民委员会	村民委员会	Qiānfú Cūnmínwěiyuánhuì
桃枢集村民委员会	村民委员会	Táoshūjí Cūnmínwěiyuánhuì
何家坳	农村居民点	Héjiā'ào
富华南路三巷	支路	Fùhuá Nánlù 3 Xiàng
凤凰苑	农村居民点	Fènghuángyuàn
哑子坡	农村居民点	Yǎzǐpō
扎隆查豁	山谷、谷地	Zhālóngcháhuò
江下垄	农村居民点	Jiāngxiàlǒng
秤砣梁	山	Chèngtuó Liáng
炒铁坑	山谷、谷地	Chǎotiěkēng
佟庄村民委员会	村民委员会	Tóngzhuāng Cūnmínwěiyuánhuì
佐曲乎玛曲钦	山谷、谷地	Zuǒqǔhūmǎqǔqīn
大石塘村村民委员会	村民委员会	Dàshítángcūn Cūnmínwěiyuánhuì
滚子沟	农村居民点	Gǔnzǐgōu
后塅	农村居民点	Hòuduàn
木仔坑	山谷、谷地	Mùzǎikēng
二喇嘛滩林牧业社	农、林、牧场点	Èrlǎmatān Línmùyè Shè
金家窝	农村居民点	Jīnjiāwō
南岗上	农村居民点	Nángǎngshàng
杜家湾刘家	农村居民点	Dùjiāwānliújiā
然去乎陇	山谷、谷地	Ránqùhūlǒng
王烟墩村民委员会	村民委员会	Wángyāndūn Cūnmínwěiyuánhuì
甑盖坑	农村居民点	Zènggàikēng
后头岭	农村居民点	Hòutóulǐng
韦店集村民委员会	村民委员会	Wéidiànjí Cūnmínwěiyuánhuì
恰壑日达索乎	山谷、谷地	Qiàhèrìdásuǒhū
忙乐村民委员会	村民委员会	Mánglè Cūnmínwěiyuánhuì
丁家岭	农村居民点	Dīngjiālǐng
三坝村村民委员会	村民委员会	Sānbàcūn Cūnmínwěiyuánhuì
桂林坑	农村居民点	Guìlínkēng
周家坑林牧业社	农、林、牧场点	Zhōujiākēng Línmùyè Shè
撒纳隆巴	山谷、谷地	Sānàlóngbā
竹叶尖	山峰	Zhúyè Jiān
丁家台	农村居民点	Dīngjiātái
安王	农村居民点	Ānwáng
坝嘎	农村居民点	Bàgā
托琼	山谷、谷地	Tuōqióng
多坡杂叶玛	山谷、谷地	Duōpōzáyèmǎ
牛栏背	农村居民点	Niúlánbèi
车站北街	次干路	Chēzhànběi Jiē
捷龙	山谷、谷地	Jiélóng
果园头	农村居民点	Guǒyuántóu
河边一队	农村居民点	Hébiānyīduì
上三房	农村居民点	Shàng 3 Fáng
张灿庄村民委员会	村民委员会	Zhāngcànzhuāng Cūnmínwěiyuánhuì
邓垄	农村居民点	Dènglǒng
豪溪	农村居民点	Háoxī
南亢村民委员会	村民委员会	Nánkàng Cūnmínwěiyuánhuì
鄂阿木让	山谷、谷地	È’āmùràng
庙坪里	农村居民点	Miàopínglǐ
曹仙洞	农村居民点	Cáoxiāndòng
蕉源坑	农村居民点	Jiāoyuánkēng
上山熊家	农村居民点	Shàngshānxióngjiā
亭子坳	山口、关隘	Tíngzǐ Ào
赵家坳	农村居民点	Zhàojiā'ào
南姜庄	农村居民点	Nánjiāngzhuāng
桥山坳	山口、关隘	Qiáoshān Ào
东葫芦素淖尔林牧业社	农、林、牧场点	Dōnghúlúsùnàoěr Línmùyè Shè
下巴哈村民委员会	村民委员会	Xiàbāhā Cūnmínwěiyuánhuì
富华南路四巷	支路	Fùhuá Nánlù 4 Xiàng
白通渣脏	山体	Báitōngzhāzāng
赵桥村民委员会	村民委员会	Zhàoqiáo Cūnmínwěiyuánhuì
龙头石	农村居民点	Lóngtóushí
富华南路一巷	支路	Fùhuá Nánlù 1 Xiàng
龙家祠	农村居民点	Lóngjiācí
老街	快速路	Lǎo Jiē
坝野	农村居民点	Bàyě
大塘蔡家塝	农村居民点	Dàtángcàijiābàng
蜡烛窝	山谷、谷地	Làzhúwō
岗音果叶	山体	Gǎngyīnguǒyè
龙朱	农村居民点	Lóngzhū
桥下老屋里	农村居民点	Qiáoxiàlǎowūlǐ
小塘塆	农村居民点	Xiǎotángwān
颜家里	农村居民点	Yánjiālǐ
塔温	山谷、谷地	Tǎwēn
勤裕	农村居民点	Qínyù
等里屋	农村居民点	Děnglǐwū
爱民村一组	农村居民点	Àimíncūnyīzǔ
大旱坑	山谷、谷地	Dàhànkēng
龚家新屋	农村居民点	Gōngjiāxīnwū
加日果龙让	山谷、谷地	Jiārìguǒlóngràng
下屋王	农村居民点	Xiàwūwáng
紫铜庙	农村居民点	Zǐtóngmiào
卖饭棚	农村居民点	Màifànpéng
黄荆梁	山	Huángjīng Liáng
兰埚里	农村居民点	Lánguōlǐ
南友屋	农村居民点	Nányǒuwū
狗头地	农村居民点	Gǒutóudì
朱花园村民委员会	村民委员会	Zhūhuāyuán Cūnmínwěiyuánhuì
石溪上	农村居民点	Shíxīshàng
城东村	农村居民点	Chéngdōngcūn
裴口村民委员会	村民委员会	Péikǒu Cūnmínwěiyuánhuì
九丘	农村居民点	Jiǔqiū
小朝门	农村居民点	Xiǎocháomén
大厂库伦村	农村居民点	Ih Tsagaan Huree Cūn
醉坑	农村居民点	Zuìkēng
城南村	农村居民点	Chéngnáncūn
兴联村周家	农村居民点	Xīngliáncūnzhōujiā
坎下沅	农村居民点	Kǎnxiàyuán
里洋源	农村居民点	Lǐyángyuán
八拜村	农村居民点	Baraan Cūn
龙迳	农村居民点	Lóngjìng
塔温乃亥日阿	山谷、谷地	Tǎwēnnǎihàirì’ā
凤山村周家	农村居民点	Fèngshāncūnzhōujiā
上余源	农村居民点	Shàngyúyuán
潘家颈	农村居民点	Pānjiājǐng
赛日加卜龙	山谷、谷地	Sàirìjiābǔlóng
富康小区	农村居民点	Fùkāngxiǎoqū
道士坞	农村居民点	Dàoshìwù
水科里	农村居民点	Shuǐkēlǐ
穆刘庄	农村居民点	Mùliúzhuāng
白卡村民委员会	村民委员会	Báikǎ Cūnmínwěiyuánhuì
吗考科	农村居民点	Mákǎokē
符家村D级危房	农村居民点	FújiācūnDjíwēifáng
宝格顶敖包嘎查委员会	村民委员会	Bôgdin Ôbôô Gaqaa Wěiyuánhuì
哲喀	山口、关隘	Zhékā
曲果娄	山谷、谷地	Chugolung
南渡河	河流	Nándù Hé
伍庶熙	农村居民点	Wǔshùxī
浩日海图音阿木	山峰	Hôrôhaitiin Am
桑什给	草原	Sāngshígěi
罗家机房	农村居民点	Luójiājīfáng
林溪	农村居民点	Línxī
巴彦花镇	乡级行政区	Bayan Hûa Zhèn
阿克厂	农村居民点	Ākèchǎng
根堡村民委员会	村民委员会	Gēnbǎo Cūnmínwěiyuánhuì
虎仔坑	农村居民点	Hǔzǎikēng
新坟弯	山	Xīnfénwān
保坪村民委员会	村民委员会	Bǎopíng Cūnmínwěiyuánhuì
智隆吉勒	山谷、谷地	Zhìlóngjilè
南多河	河流	Nánduō Hé
庞家咀	农村居民点	Pángjiāzuǐ
罗夺桑	山谷、谷地	Luóduósāng
木切	山谷、谷地	Mùqiē
阿比河	农村居民点	Ābǐhé
萨尕吗	农村居民点	Sàgǎmá
闫庄老荒地	农村居民点	Yánzhuānglǎohuāngdì
赛罕塔拉苏木	乡级行政区	Saihan Tal Sûm
璧泉鹰嘴村五保家院	农村居民点	Bìquányīngzuǐcūnwǔbǎojiāyuàn
莫石根	山谷、谷地	Mòshígēn
上三益巷	支路	Shàngsānyì Xiàng
牟家坝	农村居民点	Móujiābà
贵南县过马营镇麻什干村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Máshígàn Cūnmínwěiyuánhuì
照家辉	农村居民点	Zhàojiāhuī
西方庄	农村居民点	Xīfāngzhuāng
贺弄路	支路	Hènòng Lù
姐乌村民委员会	村民委员会	Jiěwū Cūnmínwěiyuánhuì
耳仁靠	山谷、谷地	Ěrrénkào
额木恩瓦窑嘎查委员会	村民委员会	Emun Ua Yô Gaqaa Wěiyuánhuì
炎埚	农村居民点	Yánguō
大朵村民委员会	村民委员会	Dàduǒ Cūnmínwěiyuánhuì
安家庄山神庙	农村居民点	Ānjiāzhuāngshānshénmiào
那邦巷	支路	Nàbāng Xiàng
贵南县过马营镇切扎村村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Qiēzhācūn Cūnmínwěiyuánhuì
岩头寺	山峰	Yántóusì
班定营村民委员会	村民委员会	Bɑndi Ying Cūnmínwěiyuánhuì / Bandi Ail Cūnmínwěiyuánhuì
君切	山谷、谷地	Jūnqiē
两路村村民委员会	村民委员会	Liǎnglùcūn Cūnmínwěiyuánhuì
佳立赛	山	Jiālìsài
拉岗	山	Lāgǎng
底密么	农村居民点	Dǐmìme
凡店子	农村居民点	Fándiànzǐ
哈拉特乌拉音敖包	山峰	Haraat Ûûliin Ôbôô
居溪塘	农村居民点	Jūxītáng
水深掌	山谷、谷地	Shuǐshēnzhǎng
南怀河	河流	Nánhuái Hé
苏云沟	农村居民点	Sūyúngōu
景罕村民委员会	村民委员会	Jǐnghǎn Cūnmínwěiyuánhuì
沙日敖瑞	山	Xar Ôrôi
长石岩	山	Chángshíyán
秀琼	山谷、谷地	Xiùqióng
燕子崖	山峰	Yànzǐ Yá
园田嘴	农村居民点	Yuántiánzuǐ
八拜村民委员会	村民委员会	Baraan Bɑixing Cūnmínwěiyuánhuì
金环四路	支路	Jīnhuán 4 Lù
石佛	农村居民点	Shífó
辉煌路	支路	Huīhuáng Lù
和希格图花	山	Hexigt Hûa
楼鱼沟	山谷、谷地	Lóuyúgōu
五旗敖包嘎查委员会	村民委员会	Wǔqí Oboo Gaqaa Wěiyuánhuì
加隆能	山谷、谷地	Jiālóngnéng
醋秦拉	山	Cùqínlā
苏敏诺日	湖泊	Sumiin Nûûr
文鑫路	支路	Wénxīn Lù
柿子树𡎚	农村居民点	Shìzǐshùpiǎn
贵南县过马营镇角色村村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Jiǎosècūn Cūnmínwěiyuánhuì
梭脚卡	农村居民点	Suōjiǎokǎ
拉勐村民委员会	村民委员会	Lāměng Cūnmínwěiyuánhuì
碧明路	支路	Bìmíng Lù
柯特	山谷、谷地	Kētè
套海嘎查委员会	村民委员会	Tôhûi Gaqaa Wěiyuánhuì
南景河	河流	Nánjǐng Hé
炼油厂	农村居民点	Liànyóuchǎng
金环六路	支路	Jīnhuán 6 Lù
曼胆村民委员会	村民委员会	Màndǎn Cūnmínwěiyuánhuì
金龙街北段	支路	Jīnlóng Jiē Běiduàn
南界都村	农村居民点	Nánjièdōu Cūn
坝吉赛	山	Bàjísài
康普能	山谷、谷地	Kāngpǔnéng
街子坝	农村居民点	Jiēzǐbà
德日森恩艾力嘎查委员会	村民委员会	Dersen Ail Gaqaa Wěiyuánhuì
哲合尔	山谷、谷地	Zhéhé'ěr
贵南县过马营镇洛加村村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Luòjiāūn Cūnmínwěiyuánhuì
齐塘村民委员会	村民委员会	Qítáng Cūnmínwěiyuánhuì
浮砂	农村居民点	Fúshā
葫芦包岩	山峰	Húlúbāo Yán
哈日诺日	湖泊	Har Nûûr
朝三面	农村居民点	Zhāosānmiàn
萨玛尔娄	山谷、谷地	Samarlung
达井村	农村居民点	Dájǐng Cūn
槽房	农村居民点	Cáofáng
长岭寨村村民委员会	村民委员会	Chánglǐngzhàicūn Cūnmínwěiyuánhuì
道角村民委员会	村民委员会	Dàojiǎo Cūnmínwěiyuánhuì
格坑	农村居民点	Gékēng
哇让岗	山	Warànggǎng
吗考杂立	山	Mákǎozálì
东铺上	农村居民点	Dōngpùshàng
果仓	山谷、谷地	Guǒcāng
河底刘庄	农村居民点	Hédǐliúzhuāng
布吉龙能	山谷、谷地	Bùjílóngnéng
钱家院子	农村居民点	Qiánjiāyuànzǐ
哈夏图嘎查委员会	村民委员会	Hasaat Gaqaa Wěiyuánhuì / Haxiat Gaqaa Wěiyuánhuì / Haxaat Gaqaanai Joblel / Haxaat Gaqaanai Gaqaa Wěiyuánhuì
茂盛营村民委员会	村民委员会	Màoshèngyíng Cūnmínwěiyuánhuì
万欠	山谷、谷地	Panchen
上居村民委员会	村民委员会	Shàngjū Cūnmínwěiyuánhuì
哈日干廷布日德	湖泊	Hargantin Burd
果的岗	山	Guǒde Gǎng
萨吗挂	农村居民点	Sàmáguà
南面河	河流	Nánmiàn Hé
阿克达	农村居民点	Ākèdá
神山	农村居民点	Shénshān
测德岗	山坡	Cèdégǎng
安康路	支路	Ānkāng Lù
嘎如普	农村居民点	Gārúpǔ
萨尼岗	山	Sàní Gǎng
沟头李楼	农村居民点	Gōutoulǐlóu
刚青巴纳能	山谷、谷地	Gāngqīngbānànéng
新屋潘村	农村居民点	Xīnwūpāncūn
巴彦诺尔苏木	乡级行政区	Bayan Nûûr Sûm
底里村民委员会	村民委员会	Dǐlǐ Cūnmínwěiyuánhuì
帮批	农村居民点	Bāngpī
李小庄	农村居民点	Lǐxiǎozhuāng
碾格图村民委员会	村民委员会	Jangit Cūnmínwěiyuánhuì
勐町路	支路	Měngdīng Lù
豪义尔温都尔	山坡	Hôyar Under
白兴廷诺日	湖泊	Baixingt Nûûr
阿波密	农村居民点	Ābōmì
尕拉	农村居民点	Gǎlā
加羊北	山	Jiāyángběi
朗瞄河	河流	Lǎngmiáo Hé
加索上滩社区居民委员会	社区居委会（居委会）	Jiāsuǒshàngtān Shèqū Jūmínwěiyuánhuì
呼和格日苏木	乡级行政区	Hoh Ger Sûm
下泥坑	农村居民点	Xiàníkēng
哆车村民委员会	村民委员会	Luōchē Cūnmínwěiyuánhuì
全牛场梁	山	Quánniúchǎngliáng
安居路	支路	Ānjū Lù
菜背老	农村居民点	Càibèilǎo
乌兰诺日	湖泊	Ûlaan Nûûr
叶源坞	农村居民点	Yèyuánwù
海日图嘎查委员会	村民委员会	Hairt Gaqaa Wěiyuánhuì
发拉村民委员会	村民委员会	Fālā Cūnmínwěiyuánhuì
吉乃滩社区居民委员会	社区居委会（居委会）	Jínǎitān Shèqū Jūmínwěiyuánhuì
帮中	农村居民点	Bāngzhōng
六古苴	农村居民点	Liùgǔjū
毛立山	农村居民点	Máolìshān
纳布吉	山坡	Nàbùji
大花桥	农村居民点	Dàhuāqiáo
白狗坟	丘陵山地	Báigǒufén
九岗山	农村居民点	Jiǔgàngshān
宝日浩特	山	Bôr Hot
帮中老寨	农村居民点	Bāngzhōnglǎozhài
穷扒哈埂	山	Qióngbāhāgěng
记捕	农村居民点	Jìbǔ
下青元	农村居民点	Xiàqīngyuán
黑扒拉	农村居民点	Hēibālā
尖林山	丘陵山地	Jiānlín Shān
莲塘郑家	农村居民点	Liántángzhèngjiā
巴嘎诺日	湖泊	Bag Nûûr
南皮卡河	河流	Nánpíkǎ Hé
土间塘	草原	Tǔjiāntáng
灰图瓦窑嘎查委员会	村民委员会	Hôit Ua Yô Gaqaa Wěiyuánhuì
超努图绍荣	山	Qônt Xôrông
黉学村胡家院子	农村居民点	Hóngxuécūnhújiāyuànzǐ
清洲村村民委员会	村民委员会	Qīngzhōucūn Cūnmínwěiyuánhuì
大背山	山	Dàbèi Shān
贵南县过马营镇多拉村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Duōlā Cūnmínwěiyuánhuì
宅噻格	农村居民点	Zháisāigé
发泥村民委员会	村民委员会	Fāní Cūnmínwěiyuánhuì
鸳鸯口	农村居民点	Yuānyāngkǒu
吉昂涌	山谷、谷地	Jí'ángyǒng
呼勒斯特诺日	湖泊	Hûlûst Nûûr
毛敦苏莫嘎查委员会	村民委员会	Môden Sum Gaqaa Wěiyuánhuì
巴彦包勒格苏木	乡级行政区	Bayan Bûlag Sûm
大寨西洼	农村居民点	Dàzhàixīwā
南片河	河流	Nánpiàn Hé
岭背段	农村居民点	Lǐngbèiduàn
狮子山村村民委员会	村民委员会	Shīzǐshāncūn Cūnmínwěiyuánhuì
马屋塘	农村居民点	Mǎwūtáng
然青涌	山谷、谷地	Ránqīngyǒng
刘菜园	农村居民点	Liúcàiyuán
查仓哇尔塘	草原	Chácāngwā'ěrtáng
染给喀	农村居民点	Rǎngěikā
宝力召苏木	乡级行政区	Bôljôô Sûm
莫日古其格嘎查委员会	村民委员会	Murguqeg Gaqaa Wěiyuánhuì
贵南县过马营镇过茫村村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Guòmángcūn Cūnmínwěiyuánhuì
拜兴诺日	湖泊	Baixing Nûûr
学生庙	农村居民点	Xuéshēngmiào
伍墩上	农村居民点	Wǔdūnshàng
当家汗	农村居民点	Dāngjiāhàn
大寨西庄村	农村居民点	Dàzhàixīzhuāng Cūn
构树庄	农村居民点	Gòushùzhuāng
瓦瓮沟	农村居民点	Wǎwènggōu
尖尖岩	山峰	Jiānjiān Yán
柏木塆	农村居民点	Bǎimùwān
上拉古么	农村居民点	Shànglāgǔme
中平	农村居民点	Zhōngpíng
三门新村	农村居民点	Sānménxīncūn
麻石村村民委员会	村民委员会	Máshícūn Cūnmínwěiyuánhuì
敦达乌苏嘎查委员会	村民委员会	Dûmd Ûs Gaqaa Wěiyuánhuì
商墓	农村居民点	Shāngmù
萨呼腾社区居民委员会	社区居委会（居委会）	Sàhūténg Shèqū Jūmínwěiyuánhuì
贵南县过马营镇查乃亥村村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Chánǎihàicūn Cūnmínwěiyuánhuì
五家田	农村居民点	Wǔjiātián
要子洞	山峰	Yàozǐ Dòng
锅泥	农村居民点	Guōní
吗边朵秦	农村居民点	Mábiānduǒqín
伍肖峰	农村居民点	Wǔxiāofēng
章根诺日	湖泊	Janggiin Nûûr
槽房院子	农村居民点	Cáofángyuànzǐ
沈家埠	农村居民点	Shěnjiābù
马鞍村村民委员会	村民委员会	Mǎ'āncūn Cūnmínwěiyuánhuì / Mǎān Cūn Cūnmínwěiyuánhuì / Mǎ’āncūn Cūnmínwěiyuánhuì
西铺上	农村居民点	Xīpùshàng
吉林乌苏嘎查委员会	村民委员会	Jiran Ûs Gaqaa Wěiyuánhuì
然子北社区居民委员会	社区居委会（居委会）	Ránzǐběi Shèqū Jūmínwěiyuánhuì
洲下村民委员会	村民委员会	Zhōuxià Cūnmínwěiyuánhuì
讨口子岩	山	Tǎokǒuzǐyán
依七么	农村居民点	Yīqīme
园包子	丘陵山地	Yuánbāozǐ
者堵河	河流	Zhědǔ Hé
柏木	农村居民点	Bómù
吗捕朵琼	农村居民点	Mábǔduǒqióng
贵南县过马营镇达拉村民委员会	村民委员会	Guìnán Xiàn Guòmǎyíng Zhèn Dálā Cūnmínwěiyuánhuì
黑羊河	河流	Hēiyáng Hé
竹峰岌	山峰	Zhúfēng Jí
九倒拐山	丘陵山地	Jiǔdǎoguǎi Shān
面波罗	农村居民点	Miànbōluó
盘湖天桥新村	农村居民点	Pánhútiānqiáoxīncūn
毛浩日博根善达	山峰	Môhôr Bôgiin Xand
克买	山谷、谷地	Kémǎi
法土南村民委员会	村民委员会	Fǎtǔnán Cūnmínwěiyuánhuì
沙巴尔图嘎查委员会	村民委员会	Sabart Gaqaa Wěiyuánhuì
乐平下河	河流	Lèpíngxià Hé
上青元	农村居民点	Shàngqīngyuán
拐仓吗染	山	Guǎicāngmárǎn
等邑河	河流	Děngyì Hé
交叉湖	湖泊	Jiāochā Hú
碧锦路	支路	Bìjǐn Lù
竹子坞	农村居民点	Zhúzǐwù
印斗坡	山	Yìndòupō
贵南县塔秀乡扎日干村民委员会	村民委员会	Guìnán Xiàn Tǎxiù Xiāng Zhārìgàn Cūnmínwěiyuánhuì
上河	河流	Shàng Hé / Chuyar Nang
棚松营村民委员会	村民委员会	Péngsōngyíng Cūnmínwěiyuánhuì
千槎	农村居民点	Qiānchá
四望湖	湖泊	Sìwàng Hú
黄岗山	农村居民点	Huánggǎngshān
新宝力格嘎查委员会	村民委员会	Sin Bûlag Gaqaa Wěiyuánhuì
勐盏河	河流	Měngzhǎn Hé
黑铁村民委员会	村民委员会	Hēitiě Cūnmínwěiyuánhuì
脏仓茶于	山	Zàngcāngcháyú
贵南县塔秀乡子哈村民委员会	村民委员会	Guìnán Xiàn Tǎxiù Xiāng Zǐhā Cūnmínwěiyuánhuì
筲箕坪	农村居民点	Shāojīpíng
巴彦涌	山谷、谷地	Bāyànyǒng
沃日勒廷呼舒	山峰	Oroltiin Hôxûû
谭里村	农村居民点	Tánlǐcūn
白鸽塆	农村居民点	Báigēwān
叶合拉索	山谷、谷地	Yèhélāsuǒ
寿沟	山谷、谷地	Shòugōu
阿古直	农村居民点	Āgǔzhí
胡秀庄	农村居民点	Húxiùzhuāng
哇兴亚日	山谷、谷地	Drashul Yarri
拉才岗	山	Lācái Gǎng
三亨河	河流	Sānhēng Hé
嘿格村民委员会	村民委员会	Hēigé Cūnmínwěiyuánhuì
白道岭村	农村居民点	Báidàolǐng Cūn
台西秀琼	山谷、谷地	Táixīxiùqióng
上岳水	山谷、谷地	Shàngyuèshuǐ
李家脑村	农村居民点	Lǐjiānǎocūn
牛坑山	农村居民点	Niúkēngshān
夏巢垄江家	农村居民点	Xiàcháolǒngjiāngjiā
上六古么	农村居民点	Shàngliùgǔme
窝凼坡	农村居民点	Wōdàngpō
嘎佐街	农村居民点	Gāzuǒjiē
哈拉盖图	草原	Halgait
铁爪坞	农村居民点	Tiězhuǎwù
七圪台村民委员会	村民委员会	Chiigtei Cūnmínwěiyuánhuì
色福弄	山谷、谷地	Sèfúnòng
丁公庙巷	支路	Dīnggōngmiào Xiàng
准毛盖音高勒	河流	Jûûn Môgaiin Gôl
碧秀路	支路	Bìxiù Lù
柏叶底村	农村居民点	Bǎiyèdǐ Cūn
以礼河	农村居民点	Yǐlǐhé
大岩	山峰	Dà Yán
木槐河	河流	Mùhuái Hé
达希横地	草原	Dasi Hundi
五马	农村居民点	Wǔmǎ
克日岗	山	Kèrì Gǎng
孩秦拉	山	Háiqínlā
塘湾罗家	农村居民点	Tángwānluójiā
万寿宫巷	支路	Wànshòugōng Xiàng
李木村	农村居民点	Lǐmùcūn
姜家塆	农村居民点	Jiāngjiāwān
赖方	农村居民点	Làifāng
杨赵河村	农村居民点	Yángzhàohé Cūn
直接岗	山	Zhíjiē Gǎng
济桃奥于	山	Jǐtáo'àoyú
木文河	河流	Mùwén Hé
迤博溪	农村居民点	Yǐbóxī
下六古么	农村居民点	Xiàliùgǔme(biémíng：xiàliùgēmejiǎnchēng：céngyòngmíng：yǔzhǒng：hànyǔ
苴利摩	农村居民点	Jūlìmó
曼晃村民委员会	村民委员会	Mànhuǎng Cūnmínwěiyuánhuì
史江隆	山谷、谷地	Shǐjiānglóng
克栳会	农村居民点	Kèlǎohuì
哇兴玛日	山谷、谷地	Drashulmarri
宝石根塔拉	草原	Bôxgen Tal
显石寨村村民委员会	村民委员会	Xiǎnshízhàicūn Cūnmínwěiyuánhuì
刚群能	山谷、谷地	Gāngqúnneng
队焦科	农村居民点	Duìjiāokē
多拉山	山	Duōlā Shān
曼冒村民委员会	村民委员会	Mànmào Cūnmínwěiyuánhuì
准毛盖音巴润阿其	河流	Jûûn Môgaiin Barûûn Aq
智隆哲合尔	山谷、谷地	Zhìlóngzhéhé'ěr
贵南县塔秀乡塔秀村民委员会	村民委员会	Guìnán Xiàn Tǎxiù Xiāng Tǎxiù Cūnmínwěiyuánhuì
党埃洞埃	农村居民点	Dǎng'āidòng'āi
噜布垭口	农村居民点	Lūbùyākǒu
曼面村民委员会	村民委员会	Mànmiàn Cūnmínwěiyuánhuì
芒当	农村居民点	Mángdāng
河底子	农村居民点	Hédǐzǐ
高良寨	山峰	Gāoliáng Zhài
四么多	农村居民点	Sìmeduō
前三富村民委员会	村民委员会	Qián Xanggûn Cūnmínwěiyuánhuì
大弯	农村居民点	Dàwān
德日斯图洪克尔	草原	Derset Hôngher
图拉日高勒	河流	Tuler Gôl
太公印	农村居民点	Tàigōngyìn
弥长大营	农村居民点	Míchángdàyíng
小元村村民委员会	村民委员会	Xiǎoyuáncūn Cūnmínwěiyuánhuì
白果山	丘陵山地	Báiguǒ Shān
鸡噜村民委员会	村民委员会	Jīlū Cūnmínwěiyuánhuì
卷桥	农村居民点	Juànqiáo
曼捧村民委员会	村民委员会	Mànpěng Cūnmínwěiyuánhuì
相吾千里贡玛	山坡	Xiāngwúqiānlǐgòngmǎ
迎山茶场	农村居民点	Yíngshāncháchǎng
噜啦	农村居民点	Lūlā
贵南县塔秀乡西格村民委员会	村民委员会	Guìnán Xiàn Tǎxiù Xiāng Xīgé Cūnmínwěiyuánhuì
然子南社区居民委员会	社区居委会（居委会）	Ránzǐnán Shèqū Jūmínwěiyuánhuì
孔氏小寨沟	农村居民点	Kǒngshìxiǎozhàigōu
召口	农村居民点	Zhàokǒu
东逵庄	农村居民点	Dōngkuízhuāng
陆家大塆	农村居民点	Lùjiādàwān
交格耐宁	农村居民点	Jiāogénàiníng
贡宝拉格苏木	乡级行政区	Guun Bûlag Sūmù
温琼滩南社区居民委员会	社区居委会（居委会）	Wēnqióngtānnán Shèqū Jūmínwěiyuánhuì
刘堂	农村居民点	Liútáng
穆雷江	河流	Mùléi Jiāng
老鸦顶	丘陵山地	Lǎoyādǐng
深沟塆	农村居民点	Shēngōuwān
永宝向右	山坡	Yǒngbǎoxiàngyòu
叶金木岗	山	Yèjīnmù Gǎng
森日娄	山谷、谷地	Surulung
金环二路	支路	Jīnhuán 2 Lù
开基村民委员会	村民委员会	Kāijī Cūnmínwěiyuánhuì
阿陶布其	山峰	Adabq
船坑垅	农村居民点	Chuánkēnglǒng
熊家砖房	农村居民点	Xióngjiāzhuānfáng
那赛河	河流	Nàsài Hé
高涌	山谷、谷地	Gāoyǒng
小湖洲	农村居民点	Xiǎohúzhōu
塘移	农村居民点	Tángyí
小弄弄箐	山	Xiǎonòngnòngqìng
西哈隆	山谷、谷地	Xīhālóng
希菜尔道	山谷、谷地	Shitsherdo
柯都村民委员会	村民委员会	Kēdōu Cūnmínwěiyuánhuì
金环三路	支路	Jīnhuán 3 Lù
纳箐河	河流	Nàqìng Hé
弥多伍大村	农村居民点	Míduōwǔdàcūn
东蒙山	农村居民点	Dōngméngshān
金潭村民委员会	村民委员会	Jīntán Cūnmínwěiyuánhuì
喻家坝	农村居民点	Yùjiābà
黉学村寨门口	农村居民点	Hóngxuécūnzhàiménkǒu
俄尕曲洛	山谷、谷地	Egǎqūluò
沙乌勒合	山谷、谷地	Sara Wuleg
鲁德	农村居民点	Lǔdé
白其哈达	山峰	Baiq Had
火烧岭里	农村居民点	Huǒshāolǐnglǐ
三乐	农村居民点	Sānlè
长拉能	山谷、谷地	Chánglānéng
巴毛赛托玛	农村居民点	Bāmáosàituōmǎ
林口上	山峰	Línkǒushàng
寿前排	农村居民点	Shòuqiánpái
拉古么河底	农村居民点	Lāgǔmehédǐ
庄沟	农村居民点	Zhuānggōu
罗摩苴	农村居民点	Luómójū
李沙垄	农村居民点	Lǐshālǒng
南薄河	河流	Nánbáo Hé
富山坑	农村居民点	Fùshānkēng
塘里坑	农村居民点	Tánglǐkēng
古寺下	农村居民点	Gǔsìxià
漏江村	农村居民点	Lòujiāngcūn
鲁纳田	农村居民点	Lǔnàtián
九虞村民委员会	村民委员会	Jiǔyú Cūnmínwěiyuánhuì
取尺考	农村居民点	Qǔchǐkǎo
